gene  z1         z2       z3          z4        z5          z6      z7        z8         z9        z10    z11         z12       z13       z14        z15      z16       z17      z18        z19        z20       z21     z22        z23       z24       z25      z26        z27       z28        z29      z30       z31      z32       z33       z34       z35       z36       z37       z38        z39       z40      z41       z42        z43      z44        z45      z46       z47      z48         z49       z50      z51       z52        z53       z54      z55        z56      z57        z58      z59       z60        z61      z62      z63              
 1   1.10270   0.49716   1.28420   0.02059   1.09335   0.78015   0.72880   1.04560   0.84726   0.70315   1.24345   0.81508   0.93305   0.09948  -0.11435  -0.13302   1.12337  -0.00456   0.06611   0.50386   0.64682  -0.90529   0.12729  -1.21117  -1.61556  -1.99262  -0.98886  -1.52786  -0.83402  -0.91093  -2.75673   0.20086   0.14795  -0.13302  -0.34623   0.48849   0.22932  -0.53606  -0.53837   0.10517   0.21358  -0.11929  -0.49479   0.94055   0.79843   0.34256   0.28856   0.21358  -0.29236   0.35785  -0.18075   0.40496   1.01144   0.09485   1.36768   0.70939   1.07955   0.76428   0.82057   0.72880   0.19503   0.29009   0.75000
   2  -2.78872  -2.73107  -2.50168  -1.69133  -1.85615  -2.99974  -3.18689  -2.53271  -2.69489  -1.49723  -2.46882  -2.77179  -2.34046  -1.34142  -1.48017  -1.99519  -2.53907  -1.85151  -1.85439  -2.99974  -1.70761  -2.08566  -1.53969  -2.35039  -1.92742  -2.04950  -2.60105  -2.73107  -2.78872  -2.61347  -2.14260  -1.46990  -2.53018  -2.62589  -2.35456  -1.41080  -2.07864  -2.48956  -2.07188  -2.05847  -2.35770  -2.02660  -1.47819  -2.20822  -1.52305  -1.01239  -1.81556  -1.16315  -1.21117  -1.85615  -0.22935  -2.14815  -0.08534   0.33182   0.22606  -0.21010  -0.92193  -0.40444   0.68509  -0.75280  -0.79685  -0.24124  -0.15274
   3   0.00985  -0.04364  -0.19992  -0.74602  -1.27333  -0.17674  -0.02773  -0.76524  -0.24478  -0.50555  -0.47289  -0.62195  -0.54723   0.50724  -0.24731   0.35718   0.51106   0.71606   0.62669   0.18706  -0.39981  -0.41680   0.50958   0.04707   0.56130  -1.31826  -0.01796   0.09948   0.59650   0.29390  -0.54524   0.34256   1.03895   0.25959  -0.46545   0.40929   1.13636   0.28518  -1.16139   0.16114   0.22833   0.60393  -0.26723   0.00568  -2.70680  -1.79040  -0.28390  -1.68578  -0.05525  -0.95972  -0.73909  -0.33038  -0.20187  -1.45651  -1.28321  -0.67354  -0.91056  -0.82417  -1.36669  -0.34031  -0.09212  -1.50385   0.20327
   4  -2.08184  -3.04638  -2.75164  -2.35456  -1.93621  -2.48292  -2.50777  -1.81786  -1.63954  -2.43166  -1.27961  -1.59537  -0.72289   0.25196  -2.48654  -2.30611  -1.93621   0.18220   0.17902   0.45603  -1.92382  -0.17769  -0.01796   0.24177   0.27475   0.22606   0.23748  -1.69719  -1.83855  -1.04017  -2.19555  -2.16391  -2.64802  -2.53018   0.43725   0.54372   0.35785  -0.18201   0.20559  -0.00181   0.34716   0.26727   0.47038  -0.95063  -2.46882   0.45771   0.32977   0.29009   0.25959   0.11814  -2.49200   0.11978  -2.26678  -2.92435  -2.74656  -3.04638  -1.19924  -0.84270  -1.96184  -2.17244  -3.18689  -1.89879  -2.14815
   5  -0.75897  -1.67772  -1.42151  -1.14767  -1.27244  -1.17038  -1.46783  -0.83518  -0.83402  -1.13244  -0.76949  -0.72350  -0.86347  -1.13166  -0.83529  -0.60459  -1.07266  -1.97113  -1.92965  -2.23135  -0.94669  -1.68026  -1.57058  -1.12501  -1.92382  -1.56915  -2.45550  -0.73325  -0.86721  -0.75131  -0.45610  -0.87253  -0.83460  -1.31379  -2.03567  -1.50690  -2.34098  -2.36769  -1.99262  -2.10579  -2.24162  -1.87635  -1.52488  -1.80759  -1.44987  -1.60728  -2.17596  -1.67772  -2.03567  -1.89049  -0.42358  -2.41633  -1.28321  -0.59875  -1.33332  -0.48459  -1.92518  -0.31403  -1.05041  -1.32126  -0.96312  -1.74612  -1.17806
   6   1.05630   0.78093   0.64519   0.52724   0.56693   0.59189   0.64883   1.19747   1.03895   0.97802   1.10915   1.15139   1.92684   0.14988  -0.05435  -0.01471   1.09335   0.24467   0.27589   0.19235   0.71685  -0.33129   0.13632  -0.35382  -0.65282  -0.03885   0.04201   0.69502   0.64167   0.66086   0.54014   1.02403   0.28085   0.96124   0.24177  -0.01878  -0.48200  -0.26247   0.14332   0.52724   0.43012   0.23250   0.50053   1.59319   1.35876   0.26332   0.28085  -0.32712  -0.19754  -0.10142   0.23171  -0.44816   0.98911   0.69706   0.98492   0.59438   1.69502   1.53808   1.69502   1.30322   1.13198  -0.74782  -0.81667
   7   1.42514   0.98182   1.25691   1.71949   1.29148   0.83376   1.44204   1.82816   1.53808   1.74456   1.39936   1.70872   1.89216   1.80723   1.13636   1.51594   1.70872   1.72288   1.69502   1.74456   1.30322   1.72288   1.90415   1.12738   1.76547   1.52188   1.23211   1.07955   1.47191   1.19803   1.30322   1.29561   1.06518   1.61942   1.80723   1.83886   1.48607   1.90415   1.79092   1.90415   2.03526   1.65500   1.86249   1.40819   1.32903   1.58041   1.72288   1.74456   1.72288   1.95420   1.20761   1.75985   1.50637   1.45487   1.52188   1.52188   1.65391   1.63954   1.79401   1.79401   1.50917   1.95420   1.95420
   8   0.56452   0.06821   0.31218  -1.15653  -0.54637   0.46417   0.93768  -0.28842  -0.36334   0.36068   0.97802  -0.12562   0.35118  -0.24731  -0.02158  -0.16978   0.77818   0.64645   0.68095   0.44263   0.01247  -0.25141   0.25196   0.84075   0.08429  -0.40332  -0.43850   0.11427   0.74089   0.43460   0.22506   0.31218  -0.25813  -0.77756  -0.47313   0.12482  -0.42144  -0.66631  -0.57830   0.01435  -0.44457  -0.49585  -0.28184   0.64645   0.33733  -0.12576   0.17723  -0.20297   0.29356  -0.38449   0.59928  -0.52950   0.84075  -0.29605   0.74089   0.13793   0.37411  -0.27424   0.19836  -0.00181   0.40290   0.60199   0.84726
   9   0.18706  -0.41680  -0.13302  -0.25174  -0.29558  -0.52560   0.03773  -0.28915   0.10368   0.61718   0.08567   0.16382  -0.49865  -0.00456   0.14605   0.40929  -0.45437  -0.05435  -0.06619   0.08627   0.07590   0.08567  -0.01588   0.35785   1.03048   0.77489   0.17404   0.67864   0.38784   0.43887   0.58185  -0.68033   0.77189   0.59189   0.00451   0.32977   0.93305  -0.71590  -0.29296   1.59142   1.05906   0.57526  -0.22766  -0.13938  -0.17031  -0.18954   0.16114  -0.11929  -0.05330   0.25773   0.36752  -0.28296   0.48627   0.30921  -0.17674   0.27646  -0.28822  -0.43611   0.26444   0.78015   0.43722   0.20612   0.64167
  10   0.98182   0.71764   0.71405   0.50724  -0.54524   0.42752   0.54049   0.07218   0.01435   0.41304   0.72209  -0.04306   0.05373  -0.98886   0.43311   0.09390   1.22799   0.19503   0.12093   0.40496   0.48091  -1.44860  -0.18075   0.72880   0.93768   0.35094   0.46916   0.53321   0.96124   1.04774   0.63265   0.55075   0.33182   0.03445   0.31660   0.70828   0.52724  -0.05414   0.04071   0.19235   0.07418   0.53162   0.15345   0.70939  -0.36875  -0.54533  -0.13302   0.03445   0.98492   0.02888   1.18277   0.04009   1.25691   0.45728   1.17209   0.78828   0.20339   0.88466   0.60393  -0.08730   0.45368   0.31218   0.40393
